Timestep,C7,CLAV,LANK,LASI,LBHD,LELB,LFHD,LFIN,LFRM,LHEE,LKNE,LPSI,LSHO,LTHI,LTIB,LTOE,LUPA,LWRA,LWRB,RANK,RBAK,RBHD,RELB,RFHD,RFIN,RFRM,RHEE,RKNE,RPSI,RSHO,RTHI,RTIB,RTOE,RUPA,RWRA,RWRB,STRN,T10,x39,x40,RASI
236,0.0291749,0.0110105,0.00184676,0.0475641,0.0167693,0.0162252,0.0592753,0.00879312,0.00551356,0.0125078,0.0142789,0.0256052,0.0218562,0.0136865,0.0031086,0.0195642,0.0134912,0.0178316,0.00906228,0.00870366,0.0493814,0.0428138,0.0104682,0.066101,0.00873516,0.0121303,0.0100387,0.0161022,0.0225026,0.0333528,0.0313626,0.0067365,0.0195601,0.00913214,0.0103225,0.00745571,0.0182859,0.049313,0,0,0.0531832
237,0.0290785,0.0108356,0.00179799,0.0473448,0.0150488,0.0169283,0.05754,0.00885565,0.00454634,0.0127656,0.0141405,0.0256507,0.0218464,0.0137476,0.00295853,0.0197409,0.011932,0.0180348,0.00917123,0.00880166,0.0481885,0.0426085,0.0083939,0.0650722,0.00977551,0.0121443,0.00934416,0.0155464,0.0224583,0.033377,0.0322297,0.00658012,0.0190494,0.00821554,0.0100822,0.00799129,0.0179272,0.0488129,0,0,0.0532321
238,0.028804,0.0106343,0.00174481,0.0471653,0.0132435,0.0181226,0.0556119,0.00859971,0.00383104,0.0130221,0.0139792,0.0256596,0.0218472,0.0137636,0.00270745,0.0199069,0.0104861,0.0180706,0.00932418,0.00914109,0.0470095,0.0423463,0.00643481,0.0638206,0.0109162,0.0122903,0.0083566,0.0150162,0.0224462,0.0333727,0.033005,0.00620515,0.0185338,0.00753083,0.00966817,0.00842536,0.0175934,0.0483022,0,0,0.0533427
239,0.0285492,0.0103802,0.00170126,0.0469959,0.0114045,0.0196176,0.0534673,0.00834069,0.00331719,0.0132454,0.0137849,0.0256217,0.021887,0.0134885,0.00238781,0.0200587,0.00923242,0.0178938,0.00935666,0.00955736,0.0458317,0.0420369,0.00463966,0.0623504,0.0120935,0.0126761,0.00725387,0.0144822,0.0224271,0.0334184,0.0336806,0.00556929,0.0180036,0.00705889,0.00964304,0.00877141,0.0171457,0.0477618,0,0,0.0534907
240,0.0281313,0.0100986,0.00166188,0.0467998,0.00956737,0.0212567,0.0510558,0.00784651,0.00296976,0.0134167,0.0135999,0.0255553,0.0221158,0.0131173,0.00211991,0.0201869,0.00837858,0.0175729,0.00925257,0.010195,0.0446726,0.0416957,0.00314155,0.0607096,0.0132633,0.0132919,0.00627061,0.0139323,0.0223848,0.0335506,0.0342524,0.00492115,0.0173139,0.00678098,0.00971257,0.0091584,0.0164893,0.047574,0,0,0.0536685
241,0.0279661,0.0098808,0.00159319,0.0465777,0.00779515,0.0228402,0.0483866,0.00707698,0.00278439,0.0135184,0.013473,0.0254881,0.0226474,0.0131069,0.00190821,0.0202738,0.00807852,0.017345,0.0091047,0.0109015,0.0435132,0.0412924,0.00250677,0.0589339,0.0143811,0.0140285,0.00551968,0.0133652,0.0223153,0.0337854,0.0347406,0.00430084,0.0163382,0.00668381,0.00986185,0.00961731,0.0155213,0.0477432,0,0,0.053908
242,0.0281773,0.00978128,0.00157802,0.046343,0.00629885,0.0241362,0.0455791,0.00607442,0.00286288,0.01354,0.013407,0.0254313,0.0233118,0.0129953,0.00173903,0.0203493,0.00819149,0.0171963,0.00886225,0.0113312,0.0423654,0.0408635,0.00310264,0.0570321,0.0154183,0.0147039,0.00505452,0.0128534,0.0223051,0.0340131,0.0351394,0.00375247,0.0154832,0.00674504,0.0095115,0.00998162,0.0143446,0.0479095,0,0,0.0541578
243,0.0286061,0.00977394,0.00155162,0.0461113,0.00555989,0.0251885,0.0425948,0.00499319,0.00306704,0.0134362,0.0133909,0.0253985,0.0239752,0.0126568,0.00164465,0.02045,0.00829082,0.017161,0.00860481,0.0113883,0.0412683,0.0403713,0.00425037,0.055076,0.0162552,0.0151935,0.00488172,0.0123733,0.0223868,0.0342708,0.0354919,0.00332548,0.0147781,0.00683364,0.00876602,0.0100245,0.0131274,0.0480101,0,0,0.0544067
244,0.0289107,0.0098337,0.00145076,0.0458381,0.0060089,0.0259356,0.0395051,0.00413455,0.00340947,0.0132156,0.0134823,0.0254183,0.0245822,0.0125547,0.00161898,0.0204681,0.00826736,0.0170676,0.00833282,0.0112504,0.0402723,0.0398637,0.00537499,0.0531334,0.0167569,0.0154813,0.0051566,0.0119406,0.0225006,0.0344195,0.035803,0.00323037,0.0141733,0.00687116,0.00861028,0.00987624,0.0120231,0.0480097,0,0,0.0547013
245,0.0290042,0.0098877,0.00133,0.0455446,0.00749408,0.0263049,0.0364381,0.00372749,0.00378724,0.0129579,0.0136785,0.0254728,0.0250837,0.0124685,0.00175941,0.020361,0.00820098,0.0171088,0.00800676,0.0113651,0.0394052,0.0394471,0.00625295,0.0512118,0.0169197,0.0155814,0.00593546,0.0115519,0.0227154,0.0345236,0.0360545,0.00348669,0.0136521,0.00692251,0.00887809,0.00966042,0.0113705,0.0480121,0,0,0.0550269
246,0.0289211,0.00982277,0.00144874,0.0454079,0.00960544,0.0263237,0.0333747,0.00387264,0.00413538,0.012737,0.0139466,0.0255671,0.0254643,0.0122271,0.00206765,0.0201724,0.00815712,0.017177,0.00759205,0.0114913,0.0386,0.0391018,0.00690056,0.0493943,0.0167366,0.0155509,0.0069532,0.0112783,0.0230502,0.0346425,0.0362533,0.00406139,0.0132126,0.00709456,0.00880596,0.00944565,0.0111126,0.0479444,0,0,0.0553436
247,0.0288105,0.00954752,0.00176294,0.0455149,0.0120571,0.0260375,0.0303404,0.0045028,0.00453152,0.0122441,0.0142984,0.02566,0.0257829,0.0119916,0.0024222,0.0199335,0.00816213,0.0170638,0.00730664,0.0116118,0.0378283,0.0388683,0.00737608,0.0477187,0.0162723,0.0154505,0.00797281,0.0112698,0.023499,0.0346518,0.0364425,0.0048253,0.0128741,0.00747076,0.00901475,0.00925267,0.0110119,0.0476211,0,0,0.0555605
248,0.0287484,0.00907848,0.00207791,0.0457775,0.0146461,0.0255558,0.0273748,0.0053637,0.00450563,0.0114,0.0147157,0.0256736,0.026085,0.0117459,0.00255872,0.0197068,0.00834172,0.0172301,0.00753366,0.0118824,0.037129,0.0388039,0.00776731,0.0462613,0.0156977,0.0153016,0.00893019,0.0115089,0.023961,0.0346946,0.0366226,0.0055689,0.0126093,0.00804787,0.00929234,0.00908404,0.0112198,0.0468412,0,0,0.0556543
249,0.0288513,0.00852255,0.00224304,0.0457375,0.017222,0.0249211,0.0245064,0.00632922,0.00377284,0.010431,0.0151629,0.0255891,0.0264302,0.0116114,0.0028011,0.0194791,0.00879622,0.0175901,0.007564,0.0123152,0.0365567,0.0389002,0.00812014,0.0449993,0.0152868,0.015108,0.00978621,0.0118943,0.0243395,0.0350746,0.0368073,0.00614742,0.0124208,0.00875109,0.00948382,0.00893363,0.0115499,0.0456423,0,0,0.0556194
250,0.0290188,0.00797818,0.00224357,0.0460041,0.0197091,0.024132,0.0218061,0.0075035,0.00246051,0.00974065,0.0156014,0.0253785,0.0268023,0.0114826,0.00310617,0.0192354,0.00934585,0.018225,0.00757806,0.0127986,0.0361453,0.0392114,0.00828637,0.0439725,0.0152633,0.0148805,0.0105111,0.0123646,0.0245561,0.0355437,0.037027,0.00655186,0.0122941,0.00950799,0.00954174,0.00875989,0.0118445,0.044609,0,0,0.0554992
251,0.0291888,0.00751705,0.00224974,0.0461634,0.0220689,0.0232267,0.0193513,0.0083637,0.00207443,0.0092748,0.0160404,0.025049,0.0271967,0.0114479,0.00338876,0.0189909,0.00958777,0.0184793,0.0078925,0.0131679,0.0359433,0.0396695,0.00850873,0.0431803,0.0156805,0.0146318,0.0110955,0.0128206,0.0248326,0.0358288,0.0372853,0.00679609,0.0122301,0.0102287,0.00958718,0.00859229,0.0121244,0.0436473,0,0,0.0553452
252,0.029337,0.00716897,0.00226274,0.0464432,0.024596,0.0223401,0.0172149,0.00916599,0.00200153,0.00893858,0.0165302,0.0246884,0.0276447,0.0115266,0.00360154,0.0187482,0.00979781,0.0181902,0.00812253,0.0135288,0.0359683,0.0402794,0.00889198,0.0425393,0.0165156,0.0143509,0.0115539,0.013178,0.0251226,0.0361037,0.0375431,0.00682917,0.0122247,0.0108682,0.00964899,0.00844123,0.0124458,0.0427576,0,0,0.0551649
253,0.0294036,0.00693135,0.00202861,0.0467139,0.0272163,0.0214962,0.0154734,0.0101077,0.00138238,0.00866295,0.0170378,0.0243979,0.0281646,0.0117051,0.00372211,0.0184612,0.0101059,0.0181613,0.00795625,0.0138663,0.036116,0.041043,0.00933034,0.0420596,0.0177162,0.0140547,0.0119273,0.0134538,0.0255059,0.0364598,0.0378115,0.00683638,0.0122715,0.0114352,0.00957702,0.0082569,0.0128306,0.0419572,0,0,0.0550099
254,0.0293887,0.00665446,0.00185162,0.0468436,0.0298028,0.0205527,0.0142154,0.0108891,0.000671468,0.00819046,0.0175628,0.0242362,0.0288029,0.0119089,0.00387554,0.0181651,0.0104215,0.018511,0.00791426,0.0141218,0.0362906,0.0419257,0.00973116,0.0417236,0.0191019,0.0137582,0.012243,0.013635,0.0259252,0.0367508,0.0381095,0.00695294,0.0123704,0.0119297,0.0095962,0.00808005,0.0132653,0.0411375,0,0,0.0548765
255,0.0294375,0.00632182,0.00185843,0.0468387,0.0322834,0.0195107,0.0135652,0.0114546,0.00138381,0.00766304,0.0181651,0.0242002,0.0295567,0.0120118,0.00435035,0.0178946,0.0105357,0.0188648,0.00812002,0.0142759,0.0364518,0.0428751,0.0100742,0.0414756,0.0204724,0.0134848,0.012495,0.0137303,0.0261691,0.0369313,0.0384455,0.00712111,0.0125243,0.0123537,0.00970817,0.0079037,0.0136929,0.0402849,0,0,0.0547392
256,0.029634,0.00593097,0.00196042,0.0468952,0.0346251,0.0184179,0.0135802,0.0118789,0.00219526,0.00719847,0.0189042,0.0242111,0.0303891,0.012115,0.0049515,0.0176498,0.0105444,0.0189667,0.0084742,0.0142365,0.0365773,0.0438981,0.0105162,0.0412979,0.0217156,0.0132821,0.0127299,0.0137787,0.0261687,0.0370327,0.0388357,0.00733625,0.0127307,0.0127559,0.00979489,0.00774728,0.0140973,0.0394487,0,0,0.0546225
257,0.0299584,0.00554104,0.00201475,0.0469599,0.0368701,0.0173491,0.0141997,0.0122511,0.00283502,0.00689647,0.0197386,0.0241231,0.0312138,0.0121383,0.00548419,0.0174155,0.0106205,0.0188325,0.00892578,0.0139744,0.0366751,0.0449265,0.0109728,0.0411971,0.0227909,0.0131868,0.012962,0.0138366,0.0258883,0.0371035,0.0393229,0.0075349,0.012978,0.0131788,0.00980669,0.0076105,0.0145225,0.0386477,0,0,0.0545908
258,0.0302457,0.00515595,0.0020529,0.046975,0.0390252,0.0163421,0.0152986,0.0127032,0.00328958,0.0067134,0.0206616,0.024062,0.0319833,0.0120209,0.0060648,0.0171882,0.0110548,0.0186566,0.00949136,0.0140943,0.0367703,0.0458912,0.0115039,0.0411199,0.0237409,0.0131682,0.0131775,0.0139117,0.0252081,0.0371373,0.0398413,0.00766985,0.0132568,0.0136459,0.00982029,0.00747709,0.0150383,0.0378685,0,0,0.0546022
